event_id,predicted_class,confidence,thermal_score,persistence_score,industrial_proximity_score,recurrence_score,ml_confidence_score,final_risk_score,risk_level,top_risk_factors
FIRMS_0159,Persistent Industrial Heat,0.5902,45.63,30.61,30.03,17.92,38.36,34.89,MODERATE,Chronic Operational Heat Source (38d persistence); Elevated Radiative Power (5.2 MW)
FIRMS_0160,Persistent Industrial Heat,0.9687,15.01,100.0,73.84,100.0,62.97,62.96,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (177m)
FIRMS_0161,Other Thermal Source,0.5587,45.1,0.0,48.34,15.0,13.97,28.35,MODERATE,Intense Sub-pixel Combustion Contrast (ΔT = 33.5K)
FIRMS_0162,Industrial Fire,0.5039,51.45,0.0,51.55,15.0,50.39,39.84,MODERATE,Acute Industrial Fire Hazard (50.4% ML conf); Elevated Radiative Power (7.5 MW); Close Industrial Proximity (845m)
FIRMS_0163,Other Thermal Source,0.9679,34.67,0.0,11.59,15.0,24.2,19.11,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0164,Persistent Industrial Heat,0.9688,13.8,100.0,66.88,100.0,62.97,60.91,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (371m)
FIRMS_0165,Gas Flare,0.4148,20.72,0.0,85.88,30.0,35.26,38.47,MODERATE,High-Temp Flare Combustion Stack (41.5% ML conf); Immediate Industrial Co-location (135m); Dense Industrial Cluster (22 facilities within 2km)
FIRMS_0166,Gas Flare,0.4246,17.94,0.0,86.98,30.0,36.09,38.25,MODERATE,High-Temp Flare Combustion Stack (42.5% ML conf); Immediate Industrial Co-location (404m); Dense Industrial Cluster (21 facilities within 2km)
FIRMS_0167,Industrial Fire,0.4507,47.61,0.0,30.99,15.0,45.07,32.42,MODERATE,Acute Industrial Fire Hazard (45.1% ML conf); Elevated Radiative Power (7.9 MW)
FIRMS_0168,Other Thermal Source,0.4613,47.23,0.0,36.3,15.0,11.53,25.27,MODERATE,Elevated Radiative Power (9.2 MW)
FIRMS_0169,Industrial Fire,0.446,15.5,0.0,64.07,30.0,44.6,34.04,MODERATE,Acute Industrial Fire Hazard (44.6% ML conf); Close Industrial Proximity (575m)
FIRMS_0170,Gas Flare,0.9445,24.27,9.61,82.35,32.92,80.28,51.46,HIGH,High-Temp Flare Combustion Stack (94.5% ML conf); Immediate Industrial Co-location (427m); Dense Industrial Cluster (24 facilities within 2km)
FIRMS_0171,Other Thermal Source,0.9646,48.94,0.0,23.36,15.0,24.11,25.6,MODERATE,Intense Sub-pixel Combustion Contrast (ΔT = 56.5K)
FIRMS_0172,Other Thermal Source,0.89,58.69,0.0,25.57,15.0,22.25,28.13,MODERATE,Elevated Radiative Power (13.2 MW); Intense Sub-pixel Combustion Contrast (ΔT = 32.0K)
FIRMS_0173,Persistent Industrial Heat,0.7019,70.45,31.36,71.97,20.83,45.62,53.8,HIGH,Chronic Operational Heat Source (39d persistence); Elevated Radiative Power (8.9 MW); Close Industrial Proximity (521m)
FIRMS_0174,Persistent Industrial Heat,0.7073,73.65,31.36,67.76,20.83,45.97,53.63,HIGH,Chronic Operational Heat Source (39d persistence); Elevated Radiative Power (11.3 MW); Immediate Industrial Co-location (488m)
FIRMS_0175,Other Thermal Source,0.6768,37.05,0.0,23.11,15.0,16.92,20.77,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0176,Other Thermal Source,0.9644,12.04,0.0,21.93,30.0,24.11,17.52,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0177,Other Thermal Source,0.6444,34.54,0.0,25.16,15.0,16.11,20.45,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0178,Persistent Industrial Heat,0.9625,14.04,100.0,68.53,100.0,62.56,61.28,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (484m)
FIRMS_0179,Industrial Fire,0.9436,34.65,0.0,62.74,15.0,94.36,49.44,MODERATE,Acute Industrial Fire Hazard (94.4% ML conf); Close Industrial Proximity (905m)
FIRMS_0180,Other Thermal Source,0.4941,51.79,0.0,29.49,15.0,12.35,24.91,LOW,Elevated Radiative Power (11.7 MW)
FIRMS_0181,Other Thermal Source,0.622,14.38,0.0,42.96,30.0,15.55,21.22,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0182,Gas Flare,0.438,14.53,0.0,77.55,30.0,37.23,35.33,MODERATE,High-Temp Flare Combustion Stack (43.8% ML conf); Immediate Industrial Co-location (310m)
FIRMS_0183,Persistent Industrial Heat,0.8612,15.74,21.61,57.57,32.92,55.97,38.86,MODERATE,Chronic Operational Heat Source (26d persistence); Close Industrial Proximity (512m)
FIRMS_0184,Other Thermal Source,0.9625,40.49,0.0,11.08,15.0,24.06,20.41,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0185,Industrial Fire,0.4225,39.1,0.0,67.98,15.0,42.25,38.83,MODERATE,Acute Industrial Fire Hazard (42.2% ML conf); Immediate Industrial Co-location (364m); Intense Sub-pixel Combustion Contrast (ΔT = 34.6K)
FIRMS_0186,Other Thermal Source,0.9678,36.35,0.0,2.35,15.0,24.19,17.22,LOW,Intense Sub-pixel Combustion Contrast (ΔT = 31.3K)
FIRMS_0187,Other Thermal Source,0.9549,40.21,2.86,14.95,20.83,23.87,22.27,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0188,Other Thermal Source,0.9554,48.85,2.86,8.97,20.83,23.88,22.94,LOW,Elevated Radiative Power (5.5 MW); Intense Sub-pixel Combustion Contrast (ΔT = 36.6K)
FIRMS_0189,Other Thermal Source,0.6003,61.55,0.0,38.48,15.0,15.01,30.26,MODERATE,Elevated Radiative Power (8.4 MW); Intense Sub-pixel Combustion Contrast (ΔT = 45.6K)
FIRMS_0190,Persistent Industrial Heat,0.9626,20.33,100.0,69.45,100.0,62.57,63.09,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (442m)
FIRMS_0191,Other Thermal Source,0.9328,36.85,2.86,6.51,20.83,23.32,19.18,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0192,Industrial Fire,0.5582,35.29,0.0,47.53,15.0,55.82,36.16,MODERATE,Acute Industrial Fire Hazard (55.8% ML conf)
FIRMS_0193,Persistent Industrial Heat,0.9682,23.52,100.0,68.41,100.0,62.94,63.72,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (236m)
FIRMS_0194,Other Thermal Source,0.9174,40.25,0.0,15.15,15.0,22.94,21.08,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0195,Other Thermal Source,0.9277,38.43,0.0,11.84,15.0,23.19,19.87,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0196,Other Thermal Source,0.4242,47.84,0.0,33.75,15.0,10.6,24.55,LOW,Elevated Radiative Power (9.0 MW)
FIRMS_0197,Persistent Industrial Heat,0.9695,18.39,100.0,69.65,100.0,63.02,62.77,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (147m)
FIRMS_0198,Industrial Fire,0.4938,19.71,0.0,71.52,30.0,49.38,38.15,MODERATE,Acute Industrial Fire Hazard (49.4% ML conf); Immediate Industrial Co-location (80m)
FIRMS_0199,Other Thermal Source,0.6107,49.53,0.0,42.28,15.0,15.27,28.27,MODERATE,Intense Sub-pixel Combustion Contrast (ΔT = 45.8K)
FIRMS_0200,Other Thermal Source,0.9669,44.21,0.0,11.5,15.0,24.17,21.47,LOW,Intense Sub-pixel Combustion Contrast (ΔT = 41.6K)
FIRMS_0201,Other Thermal Source,0.9632,46.54,0.0,13.79,15.0,24.08,22.6,LOW,Elevated Radiative Power (8.0 MW); Intense Sub-pixel Combustion Contrast (ΔT = 36.5K)
FIRMS_0202,Other Thermal Source,0.5949,72.44,34.36,19.65,20.83,14.87,33.98,MODERATE,Elevated Radiative Power (10.4 MW); Intense Sub-pixel Combustion Contrast (ΔT = 70.9K)
